review,rating,date,bank,source
Easy to use,5,2025-05-29,Chase,Google Play Store
sucks,1,2025-05-29,Chase,Google Play Store
"great app, give the developers a raise please",5,2025-05-29,Chase,Google Play Store
update slow,3,2025-05-28,Chase,Google Play Store
"I don't know if I trust Chase Bank anymore. I filed a complaint against a company that overcharged me. They charged me 2 times for the same service on the same day. I filed a claim with Chase, and they said it was a legitimate charge. I filed another claim and explained that it was the same charge for the same service on the0 same day. Finally, they did reimburse me. I almost switched banks because of this. If a bank does not have my back, i'm going elsewhere.",3,2025-05-28,Chase,Google Play Store
way too much interest,2,2025-05-28,Chase,Google Play Store
Chase is dope,5,2025-05-28,Chase,Google Play Store
Started using it years ago. Still use it. Just started using more features. Gold! 🪙,5,2025-05-28,Chase,Google Play Store
I can't open my account now because of this update. and I don't trust just giving out my ssn and card number. very irresponsible of you.,1,2025-05-28,Chase,Google Play Store
"This app has the most info about my credit and they make everything really easy for you. This is prob my fav card, just wish the APR wasn't like 28% lol",5,2025-05-28,Chase,Google Play Store
message: choose interest saving balance what the hell are they talking about? well I found out - try to make a payment on your card and it makes all of your previous charges come due otherwise you start paying the interest. so I canceled my two cruise bookings - need to be more clear. not going to play this game.,1,2025-05-28,Chase,Google Play Store
best bank ever,5,2025-05-28,Chase,Google Play Store
excited,3,2025-05-28,Chase,Google Play Store
won't let me log in,1,2025-05-28,Chase,Google Play Store
"you can log in and do basic things. but if you try and do any investing, it's impossible. the tablet version is unusable. it's like a multi-dollar company made this. and not a multi-billion dollar company. it's making me debate if I want to continue to invest with them.",2,2025-05-28,Chase,Google Play Store
exelent service thank you,5,2025-05-28,Chase,Google Play Store
"App should be flexible to work on different types of cell phones,",1,2025-05-28,Chase,Google Play Store
"i,am so happy with your service",5,2025-05-28,Chase,Google Play Store
Great update,5,2025-05-28,Chase,Google Play Store
It very nice layout easy to navigate and understand the process is quick and the process to make payments is very easy. Happy Happy Happy!!! It's organized so it's very easy to see what you are looking for.,5,2025-05-28,Chase,Google Play Store
excellent.,5,2025-05-27,Chase,Google Play Store
